model,dataset,phase,scored_utterances,skipped_utterances,parameters,vram_load_gb,vram_peak_gb,eer_pct,min_tdcf,auc_roc,far_at_eer_pct,frr_at_eer_pct,accuracy_pct,precision,recall,f1,rtf_mean,rtf_median,rtf_p95,rtf_max,latency_mean_ms,latency_median_ms,latency_p95_ms
XLSR-Mamba (AustinXiao/XLSR-Mamba-LA),ASVspoof 2021 LA,eval,148176,0,319327542,1.19,1.51,6.96,0.3365,0.9783,6.96,6.96,93.04,0.5977,0.9304,0.7278,0.0405,0.0300,0.1043,0.9598,20.2,15.0,52.1
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,94766211,0.35,0.56,13.88,,0.9310,13.88,13.88,86.12,0.4080,0.8612,0.5537,0.0147,0.0120,0.0334,0.1896,7.3,6.0,16.7
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,94766211,0.35,0.61,13.88,0.4305,0.9310,13.88,13.88,86.12,0.4080,0.8612,0.5537,0.0021,0.0021,0.0031,0.0161,1.1,1.1,1.5
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,94766211,0.35,0.61,48.83,0.9929,0.5218,48.83,48.83,51.17,0.1043,0.5117,0.1733,0.0021,0.0021,0.0027,0.0068,1.0,1.0,1.4
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,94766211,0.71,0.71,30.42,0.7551,0.7678,30.42,30.42,69.58,0.2026,0.6958,0.3138,0.0016,0.0016,0.0023,0.0098,0.8,0.8,1.1
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling) v2.0,ASVspoof 2021 LA,eval,148176,0,94766211,0.71,0.71,30.42,0.7551,0.7678,30.42,30.42,69.58,0.2026,0.6958,0.3138,0.0024,0.0023,0.0031,0.0116,1.2,1.1,1.6
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,96932994,0.36,0.74,30.53,0.7582,0.7329,30.53,30.52,69.47,0.2018,0.6948,0.3128,0.0018,0.0018,0.0026,0.0080,0.9,0.9,1.3
Filterpass-SAP (Wav2Vec2-base + Self-Attention Pooling),ASVspoof 2021 LA,eval,148176,0,96932994,0.36,2.34,14.70,0.4369,0.8922,14.70,14.69,85.30,0.3920,0.8531,0.5372,0.0002,0.0001,0.0003,0.0037,0.6,0.5,1.3
Wav2Vec2-AASIST (Tak et al. 2022),ASVspoof 2021 LA,eval,chunked_500ms,500,148176,0,317837834,2.37,2.37,5.81,0.3098,0.9854,5.81,5.80,94.19,0.6431,0.9420,0.7643,0.0037,0.0031,0.0077,0.0419,1.9,1.6,3.9
Nes2Net (Liu et al. 2025),ASVspoof 2021 LA,eval,chunked_500ms,500,148176,0,317902631,2.37,2.37,6.40,0.3247,0.9857,6.40,6.40,93.60,0.6191,0.9360,0.7452,0.0071,0.0068,0.0114,0.0314,3.5,3.4,5.7
TCM (Truong et al. 2024),ASVspoof 2021 LA,eval,chunked_500ms,500,148176,0,321213220,2.40,2.40,9.59,0.3364,0.9517,9.59,9.58,90.41,0.5116,0.9042,0.6535,0.0033,0.0030,0.0054,0.0203,1.6,1.5,2.7
